transaction_id,posting_date,txn_description,amount_ccy,currency_code,category_label
20a46da8-6574-4cdc-b1d2-0f6c3512d3d1,15-02-2025,wHolEfOODS GROCERY poS888,-103.94,USD,Groceries
96a61c85-9b43-4e1a-984c-68652d9b8a8b,30-10-2025,AMAZON FRESH SUPERMARKET,-486.45,USD,Groceries
34db15bf-b8c1-4779-b6b6-601d0f1ae88a,18-01-2025,WHOLEFOODS,-451.23,USD,Groceries
1feb6fea-4a08-4dcf-9bbe-b05c4593632b,10-10-2025,AMAZON FRESH GROCERY,-161.3,USD,Groceries
7de6fdf4-42ef-46ac-baac-e654e06f1a3e,03-12-2024,WHOLEFOODS SUPERMARKET,-61.27,USD,Groceries
6b63ffec-07d2-4b08-a35a-287e2c8e8891,23-07-2025,AMAZON FRESH GROCERY,-486.35,USD,Groceries
ec38d98f-bf0d-4d16-aa69-7bb97bfe5dbe,19-08-2025,TRADER JOES GROCERY,-108.98,USD,Coffee/QuickBite
e870e8f3-6eb4-4606-b7b7-6fca15f4abcd,05-08-2025,WHOLEFOODS,-492.83,USD,Groceries
2b5232b9-8ba2-4966-a70a-694a778d1f73,02-08-2025,AMAZON FRESH SUPERMARKET,-396.3,USD,Groceries
f4ca7786-02b2-4f31-ae65-f50fda667b06,03-02-2025,WHOLEFOODS GROCERY,-7.21,USD,Groceries
feb80cca-9f94-4828-9eba-3667ceb1facc,30-10-2025,WHOLEFOODS,-400.14,USD,Groceries
037dddaf-11b3-42c6-9976-ad1bf740cf3c,04-12-2024,AMAZON FRESH GROCERY,-69.01,USD,Groceries
3db73c87-4329-43f2-840f-1bf6b405a82d,08-03-2025,WHOLEFOODS,-181.33,USD,Groceries
5cf01775-1cd7-447b-9084-31e4eda7ef61,19-11-2025,AMAZON FRESH,-270.34,USD,Groceries
fad75dc9-3806-4b15-81e5-649a5084491f,05-09-2025,AMAZON FRESH,-181.23,USD,Groceries
4b8a1c39-c21b-410e-b5cc-472a536e5ce8,18-10-2025,amz fresh supermarket id1883,-119.47,USD,Groceries
f74f9d19-62a4-4d12-984e-845586a8b5fc,08-03-2025,AMAZON FRESH,-154.02,USD,Groceries
bbf60be6-5b23-4649-bc5f-0c2bb8db5497,02-04-2025,AMAZON FRESH GROCERY,-139.13,USD,Groceries
45971ffe-ddd6-4f88-b75a-89832458068b,30-04-2025,AMAZON FRESH,-31.2,USD,Groceries
3c70cf48-f57e-40b3-81a7-29e00f33bc97,27-11-2024,TRADER JOES,-40.89,USD,Groceries
b20cf173-40d8-43b3-a2bd-3d052c6b264b,22-02-2025,WHOLEFOODS SUPERMARKET,-375.74,USD,Groceries
b9c5da02-f706-4d2a-aa16-6d50ca14b8d4,03-12-2024,WHOLEFOODS GROCERY,-381.62,USD,Groceries
5274c138-0845-4a98-9db6-6760eca6d3fe,05-08-2025,WHOLEFOODS SUPERMARKET,-383.03,USD,Groceries
8fa37f68-f534-4948-b86d-9eb883c80b3d,12-11-2025,AMAZON FRESH,-97.37,USD,Groceries
047cf5f5-9c63-440d-8c51-277375177531,07-02-2025,WHOLEFOODS GROCERY,-153.9,USD,Groceries
8c04a94a-2cab-4bc4-a97c-de7f97eda7cb,23-02-2025,AMAZON FRESH SUPERMARKET,-175.84,USD,Groceries
fb080b7f-7d1a-4ea5-acf4-f192e8a40839,21-05-2025,WHOLEFOODS SUPERMARKET,-94.03,USD,Groceries
a2723be9-bfe4-4a5c-b6d4-34870b3a6b13,25-01-2025,TRADER JOES,-465.78,USD,Groceries
9695ebb7-8ac3-48e6-af74-05085880cffa,26-07-2025,AMAZON FRESH GROCERY,-425.7,USD,Groceries
d42c7520-8ed8-46ec-82ba-b2d5e5a39917,10-07-2025,TRADER JOES GROCERY,-382.21,USD,Groceries
e6139729-e4b7-45e9-9505-94f48fceaa3d,02-02-2025,whole fd id6203,-236.31,USD,Groceries
37c11858-d615-4d7b-b587-c9ede1937ccc,15-02-2025,TRADER JOES GROCERY,-69.34,USD,Groceries
0a03afc3-a110-4681-8f76-fe42f0721d5b,08-06-2025,AMAZON FRESH,-45.72,USD,Groceries
4e32d5c1-65e0-4a27-b102-a24344912fff,19-12-2024,WHOLEFOODS,-424.38,USD,Groceries
a7dd460d-f378-4e0d-9844-fca16446126b,19-09-2025,amz fresh supermarket id6307 pos443,-166.22,USD,Groceries
b54a10ab-f874-4c2c-889a-245ed31256e1,14-08-2025,TRADER JOES GROCERY,-226.12,USD,Groceries
fe4a88c4-f350-4a80-93e8-a111533e0f21,20-05-2025,TRADER JOES GROCERY,-489.54,USD,Groceries
a54986a4-40a8-47fc-be87-2ac1445a0ac2,28-03-2025,TRADER JOES SUPERMARKET,-94.54,USD,Groceries
8f9254d8-1f55-4243-8b16-636c9aa1109c,13-08-2025,TRADER JOES GROCERY,-489.51,USD,Groceries
e348bd94-5d94-4312-a1f3-5441ff8dba7f,23-07-2025,WHoleFoODS,-296.58,USD,Groceries
a7d93cd4-77cb-44fb-9237-b7ea31369bc4,26-09-2025,TRADER JOES,-224.13,USD,Health
c35c94e7-21d6-4da0-aa38-603816cd02f2,14-05-2025,TRADER JOES SUPERMARKET,-263.62,USD,Groceries
705ed471-0baa-4708-b6fa-e4f968c49c22,02-10-2025,TRADER JOES GROCERY ID5788,-61.64,USD,Groceries
c95e1328-d168-4b31-9b93-259f92045347,23-01-2025,TRADER JOES SUPERMARKET ID1497 POS486,-455.25,USD,Groceries
d336c3d6-f5cf-47c3-a50e-69c465ed492e,27-06-2025,TRADER JOES,-497.7,USD,Groceries
7f3ebf28-01c0-4dc7-8399-2d5a2e77d97e,20-10-2025,TRADER JOES SUPERMARKET,-482.7,USD,Groceries
ae17a386-b67a-413f-8c7a-19e114767ce7,11-10-2025,WHOLE FD GROCERY ID7121,-373.23,USD,Groceries
c7472a8b-42aa-4357-a533-8c1815f3757a,08-01-2025,AMAZON FRESH,-143.58,USD,Groceries
bec3f9d6-64c6-4565-bb49-aaa890acd227,03-02-2025,WHOLEFOODS,-486.43,USD,Groceries
606d75ed-dfbd-48db-abff-0ceabb79804b,09-02-2025,AMAZON FRESH GROCERY,-158.75,USD,Groceries
b45a135f-cb2d-48ad-927d-2425329b3de6,08-04-2025,WHOLEFOODS GROCERY,-492.53,USD,Groceries
f33cfe2a-5385-4131-b021-4712250d20c4,05-11-2025,WHOLEFOODS GROCERY,-62.61,USD,Groceries
42f4a980-b4dd-4b07-89a5-21fb72449af6,02-01-2025,TRADER JOES GROCERY,-377.68,USD,Travel
17454607-5a5e-443d-b10d-b6abbd2a7fe2,13-01-2025,AMAZON FRESH GROCERY,-299.1,USD,Groceries
ce13d35c-f9d2-4cb5-a8ea-e360a3becbab,28-11-2024,TRADER JOES SUPERMARKET,-165.98,USD,Groceries
59d61f9c-9901-47a2-94ab-d4e27b50d201,16-01-2025,WHOLEFOODS SUPERMARKET,-61.47,USD,Groceries
2919abe1-784e-4588-aa74-a7852d4e21f0,10-06-2025,TRADER JOES GROCERY,-122.12,USD,Groceries
ffc63ab0-fa13-4832-95fe-e274f66b49d7,19-06-2025,WHOLEFOODS,-147.29,USD,Groceries
2dae2e2e-137f-4c72-8c28-9a1816bb57e0,08-06-2025,WhOlefOODs ID6542 onLInE PYmT,-75.58,USD,Groceries
adb73c70-1c0a-464d-bc66-b755a3088af8,31-05-2025,AMAZON FRESH GROCERY,-246.21,USD,Groceries
13c767a3-0a2f-421f-99fb-32d016fbd4fb,03-09-2025,WHOLEFOODS SUPERMARKET,-59.75,USD,Groceries
0d99c886-bc3d-4354-96d9-e7bb21393273,11-04-2025,TRADER JOES,-409.48,USD,Groceries
6a83b573-2025-4c3a-8603-d8ca076f876f,07-12-2024,WHOLEFOODS,-132.71,USD,Groceries
26a5ba5a-ee12-41b9-a887-0062d7ca7ad4,09-12-2024,AMAZON FRESH SUPERMARKET,-188.01,USD,Groceries
e0f2d2a5-538f-4358-b18c-9a4371e19586,29-04-2025,TRADER JOES GROCERY,-414.82,USD,Groceries
ec136feb-54f8-4680-a5de-bb543ff37eee,04-01-2025,WHOLEFOODS,-200.35,USD,Groceries
aa81b132-c4e3-41b8-8c9e-bf66e8c745fb,24-12-2024,WHOLEFOODS SUPERMARKET,-402.91,USD,Groceries
